COMMAND     PID        USER   FD     TYPE             DEVICE SIZE/OFF                NODE NAME
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    31744           123538889 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/AgctorSDK.Extensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    23040             1561296 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  6526944             1560911 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/libcoreclr.dylib
AgctorSDK 82260 rahamohebbi  txt      REG               1,14 14166016             1560958 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Private.CoreLib.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  3253760           123538806 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Swashbuckle.AspNetCore.SwaggerUI.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  2201088             1561254 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.Core.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    73728             1561269 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.Binder.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   592896             1561033 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Linq.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   275968             1560979 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Collections.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   501248             1561313 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Hosting.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    82432             1561192 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Cors.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   128512             1561324 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.AspNetCore.Mvc.ApiExplorer.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    97280           123538805 /Users/rahamohebbi/Projects/AGCTOR/AgctorSDK.Host/bin/Debug/net8.0/Swashbuckle.AspNetCore.SwaggerGen.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   132608             1561262 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Options.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    19968             1561211 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Options.ConfigurationExtensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   193536             1561293 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Http.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   152576             1561261 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Hosting.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    70144             1560901 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Threading.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    17920             1561249 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.EnvironmentVariables.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    80384             1561300 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.FileProviders.Physical.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    32256             1561225 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.FileExtensions.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    89088             1561203 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    54784             1561305 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Diagnostics.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    31744             1561282 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Configuration.Json.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   150528             1561058 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Memory.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    69120             1560920 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.ComponentModel.Primitives.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14     6144             1560989 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Diagnostics.Tracing.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   450560             1560899 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Diagnostics.DiagnosticSource.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   111616             1560928 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.IO.FileSystem.Watcher.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14   277504             1560948 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Collections.Concurrent.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    81920             1560935 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Runtime.InteropServices.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14  1644544             1560955 /usr/local/share/dotnet/shared/Microsoft.NETCore.App/8.0.8/System.Text.Json.dll
AgctorSDK 82260 rahamohebbi  txt      REG               1,14    29184             1561221 /usr/local/share/dotnet/shared/Microsoft.AspNetCore.App/8.0.8/Microsoft.Extensions.Logging.Configuration.dll
